alpha,k,0,1,2,3,4,5,6,7,8,9
1.0,1.0,0.5684210526315789,0.8059866962305987,0.11188811188811189,0.11978021978021978,0.10419313850063533,0.10273081924577374,0.1165644171779141,0.18668252080856124,0.09762202753441802,0.11689814814814815
1.0,5.0,0.5104602510460251,0.7476894639556377,0.1165644171779141,0.13786591123701605,0.11910994764397906,0.1301989150090416,0.13851351351351351,0.2010652463382157,0.10071942446043165,0.12683823529411764
1.0,10.0,0.5441941074523396,0.7668202764976959,0.11091854419410745,0.14182475158084915,0.13154533844189017,0.13945578231292516,0.1458670988654781,0.21749408983451538,0.1070110701107011,0.15648854961832062
1.0,25.0,0.5537261698440208,0.7875354107648725,0.1270358306188925,0.14788732394366197,0.12330623306233063,0.12727272727272726,0.1320754716981132,0.21966911764705882,0.12564543889845095,0.14864864864864866
1.0,50.0,0.5403830141548709,0.7947019867549668,0.13092269326683292,0.1439929328621908,0.12400635930047695,0.12244897959183673,0.14985163204747776,0.21061093247588425,0.1035548686244204,0.14485165794066318
1.0,75.0,0.5446880269814502,0.7982873453853473,0.14630681818181818,0.14749780509218613,0.1328,0.12176165803108809,0.15568862275449102,0.21661931818181818,0.12802275960170698,0.14150943396226415
1.0,100.0,0.5510548523206751,0.7928098391674551,0.15273775216138327,0.16064981949458484,0.1280148423005566,0.12209302325581395,0.15841584158415842,0.20998632010943913,0.12985274431057564,0.12387791741472172
1.0,200.0,0.5480132450331126,0.8188976377952756,0.1403118040089087,0.1524390243902439,0.13031161473087818,0.11267605633802817,0.15842839036755388,0.2029325513196481,0.13612565445026178,0.13653846153846153
1.0,500.0,0.5282574568288854,0.8140214216163584,0.14553990610328638,0.15708812260536398,0.12790697674418605,0.125,0.18386714116251482,0.2148846960167715,0.1357615894039735,0.12694877505567928
1.0,1000.0,0.5354581673306773,0.8081002892960463,0.15584415584415584,0.152317880794702,0.14925373134328357,0.13636363636363635,0.1762749445676275,0.21173235563703025,0.13220338983050847,0.11737089201877934
1.0,2000.0,0.5545302013422819,0.8005698005698005,0.0,0.1569115815691158,0.0,0.0,0.1875,0.2093617021276596,0.13575865128660158,0.0
1.0,5000.0,0.5549958018471872,0.7495682210708118,0.0,0.15725806451612903,0.0,0.0,0.18463073852295409,0.20851063829787234,0.1343906510851419,0.0
1.0,10000.0,0.5519534497090607,0.667167543200601,0.0,0.1544439048081593,0.0,0.0,0.1866977829638273,0.20303030303030303,0.13505154639175257,0.0
1.0,20000.0,0.5561181434599156,0.47552083333333334,0.0,0.15148727384237964,0.0,0.0,0.2727272727272727,0.17147117296222664,0.0,0.0
